instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
r2_10_8,BIH-ACO-DR,True,19,44200.286,68174.536,1000,95.596,2026,True
r2_10_9,BIH,True,19,67314.855,124389.197,1000,319.026,2026,True
r2_10_9,BIH-ACO-DR,True,19,67314.855,124389.197,1000,90.378,2026,True
rc1_10_1,BIH,True,94,66177.101,121723.394,1000,87.848,2026,True
rc1_10_1,BIH-ACO-DR,True,94,63117.205,119830.772,1000,94.385,2026,True
rc1_10_10,BIH,True,93,62563.038,127507.363,1000,62.987,2026,True
rc1_10_10,BIH-ACO-DR,True,92,60511.452,126278.547,1000,93.426,2026,True
rc1_10_2,BIH,True,91,75687.829,132180.386,1000,75.313,2026,True
rc1_10_2,BIH-ACO-DR,True,91,70755.402,130778.553,1000,99.778,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,115.665,2026,True
rc1_10_3,BIH-ACO-DR,True,91,79768.563,121700.379,1000,99.164,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,100.943,2026,True
rc1_10_4,BIH-ACO-DR,True,90,87643.038,117808.931,1000,95.904,2026,True
rc1_10_5,BIH,True,94,66828.563,124990.3,1000,87.936,2026,True
rc1_10_5,BIH-ACO-DR,True,93,64817.856,121730.75,1000,90.054,2026,True
rc1_10_6,BIH,True,95,67032.606,124732.007,1000,60.199,2026,True
rc1_10_6,BIH-ACO-DR,True,93,63908.74,121017.409,1000,100.667,2026,True
rc1_10_7,BIH,True,95,68475.307,125862.923,1000,71.595,2026,True
rc1_10_7,BIH-ACO-DR,True,92,65193.567,119893.809,1000,93.414,2026,True
rc1_10_8,BIH,True,93,61156.929,127980.588,1000,67.07,2026,True
rc1_10_8,BIH-ACO-DR,True,93,59382.264,128229.738,1000,94.046,2026,True
rc1_10_9,BIH,True,93,63164.405,130246.919,1000,68.546,2026,True
rc1_10_9,BIH-ACO-DR,True,92,62081.685,131169.346,1000,100.998,2026,True
rc2_10_1,BIH,True,31,40956.369,190483.203,1000,136.745,2026,True
rc2_10_1,BIH-ACO-DR,True,31,40956.369,190483.203,1000,133.588,2026,True
rc2_10_10,BIH,True,21,42458.61,129289.35,1000,174.607,2026,True
rc2_10_10,BIH-ACO-DR,True,21,42437.639,129289.35,1000,90.894,2026,True
rc2_10_2,BIH,True,27,41936.988,151679.671,1000,167.129,2026,True
rc2_10_2,BIH-ACO-DR,True,27,41682.574,151538.788,1000,132.4,2026,True
rc2_10_3,BIH,True,21,32127.306,108268.078,1000,267.771,2026,True
rc2_10_3,BIH-ACO-DR,True,21,32127.306,108268.078,1000,107.238,2026,True
rc2_10_4,BIH,True,18,26869.473,84131.279,1000,264.756,2026,True
rc2_10_4,BIH-ACO-DR,True,18,26811.685,84131.279,1000,108.243,2026,True
rc2_10_5,BIH,True,23,47969.789,134197.737,1000,161.81,2026,True
rc2_10_5,BIH-ACO-DR,True,23,47707.942,134181.646,1000,117.805,2026,True
rc2_10_6,BIH,True,23,40449.502,143691.795,1000,189.469,2026,True
rc2_10_6,BIH-ACO-DR,True,23,39435.665,143759.675,1000,169.228,2026,True
rc2_10_7,BIH,True,21,36274.13,129840.14,1000,411.088,2026,True
rc2_10_7,BIH-ACO-DR,True,21,36274.13,129840.14,1000,112.278,2026,True
rc2_10_8,BIH,True,19,38866.931,118861.302,1000,412.676,2026,True
rc2_10_8,BIH-ACO-DR,True,19,38866.931,118861.302,1000,141.288,2026,True
rc2_10_9,BIH,True,20,41129.212,122894.836,1000,432.73,2026,True
rc2_10_9,BIH-ACO-DR,True,20,41129.212,122894.836,1000,93.5,2026,True
