instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
r2_10_8,BIH-ABC-DR,True,19,43533.3,82008.846,1000,90.341,2026,True
r2_10_9,BIH,True,19,67314.855,124389.197,1000,92.846,2026,True
r2_10_9,BIH-ABC-DR,True,19,67314.855,124389.197,1000,91.158,2026,True
rc1_10_1,BIH,True,94,66177.101,121723.394,1000,19.143,2026,True
rc1_10_1,BIH-ABC-DR,True,94,62995.759,121117.46,1000,105.027,2026,True
rc1_10_10,BIH,True,93,62563.038,127507.363,1000,26.885,2026,True
rc1_10_10,BIH-ABC-DR,True,91,60958.798,127103.589,1000,91.343,2026,True
rc1_10_2,BIH,True,91,75687.829,132180.386,1000,30.488,2026,True
rc1_10_2,BIH-ABC-DR,True,91,71833.804,131867.914,1000,97.571,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,27.399,2026,True
rc1_10_3,BIH-ABC-DR,True,91,74874.022,119885.583,1000,101.008,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,27.929,2026,True
rc1_10_4,BIH-ABC-DR,True,90,87814.56,117206.527,1000,94.308,2026,True
rc1_10_5,BIH,True,94,66828.563,124990.3,1000,27.1,2026,True
rc1_10_5,BIH-ABC-DR,True,93,64046.372,121483.834,1000,94.902,2026,True
rc1_10_6,BIH,True,95,67032.606,124732.007,1000,27.835,2026,True
rc1_10_6,BIH-ABC-DR,True,92,64614.924,119907.493,1000,97.424,2026,True
rc1_10_7,BIH,True,95,68475.307,125862.923,1000,27.49,2026,True
rc1_10_7,BIH-ABC-DR,True,92,66063.727,121214.052,1000,91.203,2026,True
rc1_10_8,BIH,True,93,61156.929,127980.588,1000,28.023,2026,True
rc1_10_8,BIH-ABC-DR,True,93,59633.132,128746.209,1000,106.094,2026,True
rc1_10_9,BIH,True,93,63164.405,130246.919,1000,39.152,2026,True
rc1_10_9,BIH-ABC-DR,True,91,63415.954,129839.058,1000,92.717,2026,True
rc2_10_1,BIH,True,31,40956.369,190483.203,1000,33.731,2026,True
rc2_10_1,BIH-ABC-DR,True,31,40899.075,189361.746,1000,113.819,2026,True
rc2_10_10,BIH,True,21,42458.61,129289.35,1000,40.363,2026,True
rc2_10_10,BIH-ABC-DR,True,21,40993.921,129289.35,1000,124.503,2026,True
rc2_10_2,BIH,True,27,41936.988,151679.671,1000,37.901,2026,True
rc2_10_2,BIH-ABC-DR,True,27,41736.165,151538.788,1000,108.653,2026,True
rc2_10_3,BIH,True,21,32127.306,108268.078,1000,42.298,2026,True
rc2_10_3,BIH-ABC-DR,True,21,32069.912,111286.631,1000,95.715,2026,True
rc2_10_4,BIH,True,18,26869.473,84131.279,1000,48.398,2026,True
rc2_10_4,BIH-ABC-DR,True,18,26777.757,84322.17,1000,97.884,2026,True
rc2_10_5,BIH,True,23,47969.789,134197.737,1000,36.861,2026,True
rc2_10_5,BIH-ABC-DR,True,23,47707.942,134181.646,1000,91.606,2026,True
rc2_10_6,BIH,True,23,40449.502,143691.795,1000,37.201,2026,True
rc2_10_6,BIH-ABC-DR,True,22,39916.239,136072.425,1000,123.166,2026,True
rc2_10_7,BIH,True,21,36274.13,129840.14,1000,37.516,2026,True
rc2_10_7,BIH-ABC-DR,True,21,34791.015,128580.681,1000,115.709,2026,True
rc2_10_8,BIH,True,19,38866.931,118861.302,1000,41.295,2026,True
rc2_10_8,BIH-ABC-DR,True,19,38866.931,118861.302,1000,90.009,2026,True
rc2_10_9,BIH,True,20,41129.212,122894.836,1000,41.402,2026,True
rc2_10_9,BIH-ABC-DR,True,20,41125.925,122894.836,1000,97.56,2026,True
