instance,algorithm,feasible,vehicles,distance,travel_time,served,runtime_sec,seed,bih_first
rc1_10_2,GWO,True,91,75687.829,132180.386,1000,94.833,2026,True
rc1_10_3,BIH,True,91,79779.033,121700.379,1000,11.461,2026,True
rc1_10_3,GWO,True,91,79779.033,121700.379,1000,93.635,2026,True
rc1_10_4,BIH,True,90,87935.09,118086.395,1000,11.888,2026,True
rc1_10_4,GWO,True,90,87935.09,118086.395,1000,92.375,2026,True
rc1_10_5,BIH,True,94,66828.563,124990.3,1000,10.505,2026,True
rc1_10_5,GWO,True,94,66828.563,124990.3,1000,92.056,2026,True
rc1_10_6,BIH,True,95,67032.606,124732.007,1000,10.817,2026,True
rc1_10_6,GWO,True,95,67032.606,124732.007,1000,93.01,2026,True
rc1_10_7,BIH,True,95,68475.307,125862.923,1000,10.731,2026,True
rc1_10_7,GWO,True,95,68475.307,125862.923,1000,94.828,2026,True
rc1_10_8,BIH,True,93,61156.929,127980.588,1000,11.037,2026,True
rc1_10_8,GWO,True,93,61156.929,127980.588,1000,92.7,2026,True
rc1_10_9,BIH,True,93,63164.405,130246.919,1000,10.921,2026,True
rc1_10_9,GWO,True,93,63164.405,130246.919,1000,94.002,2026,True
rc2_10_1,BIH,True,31,40956.369,190483.203,1000,26.344,2026,True
rc2_10_1,GWO,True,31,40956.369,190483.203,1000,93.754,2026,True
rc2_10_10,BIH,True,21,42458.61,129289.35,1000,32.095,2026,True
rc2_10_10,GWO,True,21,42458.61,129289.35,1000,90.261,2026,True
rc2_10_2,BIH,True,27,41936.988,151679.671,1000,30.275,2026,True
rc2_10_2,GWO,True,27,41936.988,151679.671,1000,93.369,2026,True
rc2_10_3,BIH,True,21,32127.306,108268.078,1000,33.777,2026,True
rc2_10_3,GWO,True,21,32127.306,108268.078,1000,93.05,2026,True
rc2_10_4,BIH,True,18,26869.473,84131.279,1000,38.69,2026,True
rc2_10_4,GWO,True,18,26869.473,84131.279,1000,92.69,2026,True
rc2_10_5,BIH,True,23,47969.789,134197.737,1000,29.625,2026,True
rc2_10_5,GWO,True,23,47969.789,134197.737,1000,91.398,2026,True
rc2_10_6,BIH,True,23,40449.502,143691.795,1000,29.889,2026,True
rc2_10_6,GWO,True,23,40449.502,143691.795,1000,90.941,2026,True
rc2_10_7,BIH,True,21,36274.13,129840.14,1000,30.226,2026,True
rc2_10_7,GWO,True,21,36274.13,129840.14,1000,90.89,2026,True
rc2_10_8,BIH,True,19,38866.931,118861.302,1000,31.553,2026,True
rc2_10_8,GWO,True,19,38866.931,118861.302,1000,93.734,2026,True
rc2_10_9,BIH,True,20,41129.212,122894.836,1000,33.141,2026,True
rc2_10_9,GWO,True,20,41129.212,122894.836,1000,92.497,2026,True
